row,timestamp,time delta,Step,Learning_Rate,Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...
102,2019-04-14 15:50:47.048522,14.109400988,1019,1.000000000e-04,1.112545989e-02,1.112545989e-02,6.320505030e-03,7.628888095e-04
103,2019-04-14 15:51:01.152149,14.103694677,1029,1.000000000e-04,1.127894013e-02,1.127894013e-02,6.428211788e-03,1.139500702e-03
104,2019-04-14 15:51:15.258141,14.105961800,1039,1.000000000e-04,1.235499885e-02,1.235499885e-02,7.086435938e-03,9.218956286e-04
105,2019-04-14 15:51:29.364798,14.106649399,1049,1.000000000e-04,1.112246434e-02,1.112246434e-02,6.488348683e-03,9.940438322e-04
106,2019-04-14 15:51:43.445860,14.081022024,1059,1.000000000e-04,1.207629023e-02,1.207629023e-02,6.956182094e-03,8.492800756e-04
107,2019-04-14 15:51:57.544957,14.099089384,1069,1.000000000e-04,1.189134605e-02,1.189134605e-02,6.909098616e-03,7.115963672e-04
108,2019-04-14 15:52:11.616998,14.072159767,1079,1.000000000e-04,1.182697224e-02,1.182697224e-02,7.135814289e-03,5.850936519e-04
109,2019-04-14 15:52:25.673478,14.056361437,1089,1.000000000e-04,9.305353230e-03,9.305353230e-03,5.385408504e-03,5.079494120e-04
110,2019-04-14 15:52:39.724142,14.050676823,1099,1.000000000e-04,1.239521522e-02,1.239521522e-02,6.965263048e-03,1.144789229e-03
111,2019-04-14 15:52:53.814949,14.090798140,1109,1.000000000e-04,1.147738881e-02,1.147738881e-02,6.654639449e-03,1.052202150e-03
112,2019-04-14 15:53:07.894178,14.079222202,1119,1.000000000e-04,9.202244738e-03,9.202244738e-03,5.437591556e-03,8.072687022e-04
113,2019-04-14 15:53:21.954757,14.060555458,1129,1.000000000e-04,1.072521615e-02,1.072521615e-02,6.207440607e-03,8.041323454e-04
114,2019-04-14 15:53:36.050791,14.096111298,1139,1.000000000e-04,1.157695204e-02,1.157695204e-02,6.751958723e-03,7.634314708e-04
115,2019-04-14 15:53:50.153218,14.102401018,1149,1.000000000e-04,1.040734574e-02,1.040734574e-02,6.099900580e-03,7.208272669e-04
116,2019-04-14 15:54:04.257516,14.104261875,1159,1.000000000e-04,1.180196386e-02,1.180196386e-02,6.797893648e-03,7.246184134e-04
117,2019-04-14 15:54:18.325037,14.067566633,1169,1.000000000e-04,1.299012639e-02,1.299012639e-02,7.304622931e-03,1.134940091e-03
118,2019-04-14 15:54:32.437691,14.112595081,1179,1.000000000e-04,9.682924906e-03,9.682924906e-03,5.609135795e-03,1.018020895e-03
119,2019-04-14 15:54:46.497755,14.060111284,1189,1.000000000e-04,1.286426163e-02,1.286426163e-02,7.286079158e-03,8.541076502e-04
120,2019-04-14 15:55:00.584159,14.086440325,1199,1.000000000e-04,8.954166109e-03,8.954166109e-03,5.288740154e-03,4.153311354e-04
121,2019-04-14 15:55:14.695099,14.110855341,1209,1.000000000e-04,1.129626571e-02,1.129626571e-02,6.656199601e-03,5.578653960e-04
122,2019-04-14 15:55:28.787155,14.092058420,1219,1.000000000e-04,1.261130120e-02,1.261130120e-02,7.159857871e-03,3.389126548e-04
123,2019-04-14 15:55:42.838133,14.050957441,1229,1.000000000e-04,1.233942276e-02,1.233942276e-02,6.970035238e-03,6.107464797e-04
124,2019-04-14 15:55:56.885785,14.047657967,1239,1.000000000e-04,1.008512452e-02,1.008512452e-02,5.886074575e-03,4.019792985e-04
125,2019-04-14 15:56:10.966706,14.080995560,1249,1.000000000e-04,1.135621159e-02,1.135621159e-02,6.307535409e-03,4.003778246e-04
126,2019-04-14 15:56:25.047569,14.080834389,1259,1.000000000e-04,9.795248462e-03,9.795248462e-03,5.644149240e-03,8.410648792e-04
127,2019-04-14 15:56:39.104914,14.057295561,1269,1.000000000e-04,1.035528984e-02,1.035528984e-02,5.921749561e-03,2.875911705e-04
128,2019-04-14 15:56:53.162901,14.057968140,1279,1.000000000e-04,1.042305785e-02,1.042305785e-02,5.984765361e-03,2.914438708e-04
129,2019-04-14 15:57:07.228634,14.065832138,1289,1.000000000e-04,1.065513180e-02,1.065513180e-02,6.149704289e-03,3.153671816e-04
130,2019-04-14 15:57:21.305067,14.076404333,1299,1.000000000e-04,1.157691525e-02,1.157691525e-02,6.478768867e-03,2.289305776e-04
131,2019-04-14 15:57:35.339700,14.034578562,1309,1.000000000e-04,1.206683312e-02,1.206683312e-02,6.955166883e-03,3.183213383e-04
132,2019-04-14 15:57:49.403861,14.064140558,1319,1.000000000e-04,1.128135826e-02,1.128135826e-02,6.632265379e-03,8.691107185e-04
133,2019-04-14 15:58:03.492784,14.088990927,1329,1.000000000e-04,1.128031826e-02,1.128031826e-02,6.619034009e-03,1.001034889e-03
134,2019-04-14 15:58:17.568020,14.075243711,1339,1.000000000e-04,1.053293096e-02,1.053293096e-02,6.129712285e-03,9.521096217e-04
135,2019-04-14 15:58:31.669108,14.101039886,1349,1.000000000e-04,1.177206584e-02,1.177206584e-02,6.552375411e-03,8.677917009e-04
136,2019-04-14 15:58:45.753052,14.083945990,1359,1.000000000e-04,1.114466065e-02,1.114466065e-02,6.276137149e-03,5.032354253e-04
137,2019-04-14 15:58:59.850169,14.097084045,1369,1.000000000e-04,1.263769404e-02,1.263769404e-02,6.971478509e-03,5.041868251e-04
138,2019-04-14 15:59:13.909038,14.058876991,1379,1.000000000e-04,1.283362284e-02,1.283362284e-02,7.232038677e-03,2.630802381e-04
