row,timestamp,time delta,Step,Learning_Rate,Total_Loss,Reconstruction_Loss,Cycle_Consistency...,Motion_Linearity_...,Stable_Motion_Loss,Temporal_Regulari...
84,2019-04-18 15:57:46.780973,14.178948164,839,1.000000000e-04,8.540568408e-03,8.540568408e-03,4.799913219e-03,1.485784800e-03,2.609840385e-03,5.999964057e-03
85,2019-04-18 15:58:01.003422,14.222397327,849,1.000000000e-04,1.099818642e-02,1.099818642e-02,6.285929168e-03,1.297966673e-03,2.955799177e-03,5.279907142e-03
86,2019-04-18 15:58:15.187628,14.184300661,859,1.000000000e-04,1.336739976e-02,1.336739976e-02,7.437891723e-03,1.117087586e-03,2.531746973e-03,5.985673657e-03
87,2019-04-18 15:58:29.397496,14.209760189,869,1.000000000e-04,1.305275564e-02,1.305275564e-02,7.505885465e-03,1.121346993e-03,3.148391889e-03,7.652712520e-03
88,2019-04-18 15:58:43.607587,14.210126400,879,1.000000000e-04,1.062712739e-02,1.062712739e-02,6.458712835e-03,1.656059525e-03,3.630125243e-03,7.704558317e-03
89,2019-04-18 15:58:57.801692,14.194086075,889,1.000000000e-04,1.399826445e-02,1.399826445e-02,7.939693891e-03,1.056343751e-03,2.301917668e-03,7.065995829e-03
90,2019-04-18 15:59:12.002547,14.200914383,899,1.000000000e-04,1.157393577e-02,1.157393577e-02,6.645620242e-03,1.739456644e-03,3.042354831e-03,6.809697999e-03
91,2019-04-18 15:59:26.169113,14.166529179,909,1.000000000e-04,1.029451760e-02,1.029451760e-02,5.919222790e-03,1.353758582e-03,2.981043770e-03,7.872920018e-03
92,2019-04-18 15:59:40.392732,14.223570824,919,1.000000000e-04,1.107518231e-02,1.107518231e-02,6.462900038e-03,1.469816879e-03,3.204771248e-03,8.697499195e-03
93,2019-04-18 15:59:54.585735,14.193035603,929,1.000000000e-04,1.087820823e-02,1.087820823e-02,6.138453004e-03,1.245807816e-03,3.019645624e-03,7.188216317e-03
94,2019-04-18 16:00:08.785032,14.200269222,939,1.000000000e-04,1.123416587e-02,1.123416587e-02,6.147481757e-03,1.109558667e-03,2.485253185e-03,5.931376480e-03
95,2019-04-18 16:00:22.955517,14.169506073,949,1.000000000e-04,1.160369143e-02,1.160369143e-02,6.807193952e-03,1.258315565e-03,2.672309056e-03,6.797854695e-03
96,2019-04-18 16:00:37.141696,14.186131239,959,1.000000000e-04,1.248698728e-02,1.248698728e-02,7.215273054e-03,1.105060027e-03,3.139791568e-03,8.030773327e-03
97,2019-04-18 16:00:51.353171,14.211488247,969,1.000000000e-04,1.099232552e-02,1.099232552e-02,6.484691380e-03,1.437356183e-03,2.640052908e-03,7.284466783e-03
98,2019-04-18 16:01:05.570276,14.217093229,979,1.000000000e-04,1.242810669e-02,1.242810669e-02,7.150696451e-03,1.318891504e-03,2.684955695e-03,6.784680532e-03
99,2019-04-18 16:01:19.784230,14.213963032,989,1.000000000e-04,1.063143956e-02,1.063143956e-02,6.030272064e-03,1.301264035e-03,2.464588382e-03,6.198298978e-03
100,2019-04-18 16:01:33.997583,14.213359118,999,1.000000000e-04,1.096269088e-02,1.096269088e-02,6.368037220e-03,1.865094050e-03,3.421790176e-03,7.826256147e-03
101,2019-04-18 16:01:48.193523,14.196033478,1009,1.000000000e-04,1.073265625e-02,1.073265625e-02,6.359022995e-03,1.561807323e-03,4.395973706e-03,8.213087078e-03
102,2019-04-18 16:02:02.425377,14.231775284,1019,1.000000000e-04,1.114689629e-02,1.114689629e-02,6.571187219e-03,1.617315097e-03,4.524945421e-03,9.304702282e-03
103,2019-04-18 16:02:16.601424,14.175989151,1029,1.000000000e-04,1.137949452e-02,1.137949452e-02,6.566122174e-03,1.445387249e-03,4.067021445e-03,8.770253928e-03
104,2019-04-18 16:02:30.856468,14.255049706,1039,1.000000000e-04,1.236221201e-02,1.236221201e-02,7.187593519e-03,1.529203984e-03,4.119565384e-03,7.614794653e-03
105,2019-04-18 16:02:45.036049,14.179580688,1049,1.000000000e-04,1.124003162e-02,1.124003162e-02,6.615310861e-03,1.587633247e-03,5.631839298e-03,6.103339698e-03
106,2019-04-18 16:02:59.351368,14.315347910,1059,1.000000000e-04,1.200087760e-02,1.200087760e-02,7.116356445e-03,1.760840835e-03,5.376890860e-03,7.580819400e-03
107,2019-04-18 16:03:13.563976,14.212649345,1069,1.000000000e-04,1.198002230e-02,1.198002230e-02,7.120690262e-03,1.499613235e-03,4.853641335e-03,7.826699317e-03
108,2019-04-18 16:03:27.766266,14.202226877,1079,1.000000000e-04,1.173717673e-02,1.173717673e-02,6.838700455e-03,1.224824681e-03,3.675017296e-03,7.991410326e-03
109,2019-04-18 16:03:41.968176,14.201999426,1089,1.000000000e-04,9.249489335e-03,9.249489335e-03,5.333110923e-03,1.629334141e-03,3.737034346e-03,6.301609334e-03
110,2019-04-18 16:03:56.181844,14.213577986,1099,1.000000000e-04,1.241238699e-02,1.241238699e-02,7.023132732e-03,1.564299589e-03,3.034862375e-03,6.581002055e-03
111,2019-04-18 16:04:10.447002,14.265199661,1109,1.000000000e-04,1.141883596e-02,1.141883596e-02,6.509861443e-03,1.106226936e-03,3.059790086e-03,6.069634389e-03
112,2019-04-18 16:04:24.640728,14.193680048,1119,1.000000000e-04,9.208840271e-03,9.208840271e-03,5.300044944e-03,1.626464049e-03,3.175760358e-03,5.012458912e-03
