index,triplet_id,model_id,num_steps,ssim_val,psnr_val,ms_ssim_val,strategy,coef_loss_e,coef_loss_t,coef_loss_m,s1_epochs,max_epochs,model_description
125,2861,2019-04-20T151155,28069.0,0.949959934,33.25209808,0.9835202690000001,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
126,2041,2019-04-20T012234,28069.0,0.987850964,38.58143616,0.996504009,original_cycle_gen,0.0,0.0,0.1,5.0,10.0,[Baseline]  CyclicGen
127,2761,2019-04-20T151155,28069.0,0.992180526,43.25799942,0.997505009,accel_adjust,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt & ExtraCC Loss (coef: 0.5)
128,2581,2019-04-23T083858,14034.0,0.9872878190000001,37.40977478,0.995561659,original_cycle_gen,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 1.0)
129,1841,2019-04-23T141504,14034.0,0.847956657,28.56688118,0.9615463609999999,accel_adjust,1.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
130,3111,2019-04-20T215827,28069.0,0.923128903,31.03946686,0.9634897109999999,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
131,901,2019-04-21T092001,28069.0,0.975068092,32.85313797,0.990033805,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
132,2631,2019-04-17T191452,0.0,0.99294728,41.45930862,0.9983308909999999,original_cycle_gen,0.0,0.0,0.1,0.0,0.0,[Baseline]  1 Batch Only
133,3241,2019-04-18T233637,14034.0,0.985262215,37.6322403,0.996481895,accel_adjust,0.0,0.1,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
134,2661,2019-04-20T215827,28069.0,0.9405048490000001,29.68045807,0.981522083,accel_adjust,0.0,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: AccelAdapt
135,11,2019-04-18T164451,14034.0,0.91320467,27.73335457,0.94643122,accel_adjust,0.0,0.0,0.1,1.0,5.0,[Proposed] CyclicGen: AccelAdapt
136,291,2019-04-21T092001,28069.0,0.9792165759999999,34.11505127,0.99406749,original_cycle_gen,0.5,0.0,0.1,5.0,10.0,[Proposed] CyclicGen: ExtraCC Loss (coef: 0.5)
